disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease	inferred_from_mondo
DOID:3125	multiple endocrine neoplasia	MULTIPLE ENDOCRINE ADENOMAS	{'CIMETIDINE'}	CHEBI:3699	Cimetidine	DOID:3125|CHEBI:3699	False
DOID:3125	multiple endocrine neoplasia	MULTIPLE ENDOCRINE ADENOMAS	{'FAMOTIDINE'}	CHEBI:4975	Famotidine	DOID:3125|CHEBI:4975	False
HP:0000010	Recurrent urinary tract infections	URINARY TRACT INFECTIONS	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	HP:0000010|CHEBI:553473	False
HP:0000010	Recurrent urinary tract infections	URINARY TRACT INFECTIONS	{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	HP:0000010|CHEBI:553473	False
HP:0000371	Acute otitis media	ACUTE OTITIS MEDIA	{'LOMEFLOXACIN'}	CHEBI:116278	Lomefloxacin	HP:0000371|CHEBI:116278	False
HP:0000823	Delayed puberty	DELAYED PUBERTY	{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	HP:0000823|CHEBI:5120	False
HP:0000975	Hyperhidrosis	PRIMARY AXILLARY HYPERHIDROSIS	GLYCOPYRRONIUM TOSILATE HYDRATE	PUBCHEM.COMPOUND:71680039	GLYCOPYRRONIUM TOSYLATE	HP:0000975|PUBCHEM.COMPOUND:71680039	False
HP:0000975	Hyperhidrosis	PRIMARY PALMAR HYPERHIDROSIS	OXYBUTYNIN HYDROCHLORIDE	CHEBI:144551	Oxybutynin	HP:0000975|CHEBI:144551	False
HP:0000989	Pruritus	HISTAMINE-MEDIATED PRURITUS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HP:0000989|CHEBI:5818	False
HP:0000989	Pruritus	HISTAMINE-MEDIATED PRURITUS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HP:0000989|CHEBI:5818	False
HP:0000989	Pruritus	HISTAMINE-MEDIATED PRURITUS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HP:0000989|CHEBI:5818	False
HP:0000989	Pruritus	PRURITUS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HP:0000989|CHEBI:5818	False
HP:0000989	Pruritus	PRURITUS	{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HP:0000989|CHEBI:5818	False
HP:0001681	Angina pectoris	ANGINA PECTORIS	{'ATENOLOL'}	CHEBI:2904	Atenolol	HP:0001681|CHEBI:2904	False
HP:0001681	Angina pectoris	ANGINA PECTORIS	{'ISOSORBIDE'}	CHEBI:6060	Isosorbide	HP:0001681|CHEBI:6060	False
HP:0001907	Thromboembolism	VENOUS THROMBOEMBOLIC EVENTS	DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	HP:0001907|CHEBI:70746	False
HP:0001944	Dehydration	DEHYDRATION	{'CALCIUM CHLORIDE', 'POTASSIUM CHLORIDE', 'SODIUM ACETATE', 'SODIUM LACTATE', 'MAGNESIUM CHLORIDE', 'SODIUM CHLORIDE'}	CHEBI:26710	Sodium chloride	HP:0001944|CHEBI:26710	False
HP:0001944	Dehydration	DEHYDRATION	{'DEXTROSE', 'POTASSIUM CHLORIDE', 'SODIUM GLUCONATE', 'SODIUM ACETATE', 'MAGNESIUM CHLORIDE', 'SODIUM CHLORIDE'}	CHEBI:26710	Sodium chloride	HP:0001944|CHEBI:26710	False
HP:0001945	Fever	FEVER	{'PROPOXYPHENE', 'ACETAMINOPHEN'}	CHEBI:46195	Acetaminophen	HP:0001945|CHEBI:46195	False
HP:0002013	Vomiting	VOMITING	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	UNII:ZR36MFA9P8	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	HP:0002013|UNII:ZR36MFA9P8	False
HP:0002017	Nausea and vomiting	NAUSEA AND VOMITING	{'PROMETHAZINE'}	CHEBI:8461	Promethazine	HP:0002017|CHEBI:8461	False
HP:0002018	Nausea	NAUSEA	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	UNII:ZR36MFA9P8	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	HP:0002018|UNII:ZR36MFA9P8	False
HP:0002027	Abdominal pain	MILD TO MODERATELY SEVERE PAIN	{'ACETAMINOPHEN', 'CODEINE'}	RXCUI:370748	acetaminophen / codeine Oral Capsule	HP:0002027|RXCUI:370748	False
