disease IDs	disease ID labels	list of diseases	active ingredients in therapy	drug ID	drug ID Label	drug|disease
DOID:14275	atrophic vulva	VULVAR ATROPHY	OSPEMIFENE	CHEBI:73275	Ospemifene	DOID:14275|CHEBI:73275
DOID:14275	atrophic vulva	VULVAR ATROPHY	PRASTERONE	CHEBI:28689	Prasterone	DOID:14275|CHEBI:28689
DOID:4378	peanut allergy	PEANUT ALLERGY	DEFATTED POWDER OF ARACHIS HYPOGAEA L., SEMEN (PEANUTS)	DRUGBANK:DB10553	Peanut	DOID:4378|DRUGBANK:DB10553
DOID:9169	Wiskott-Aldrich syndrome	WISKOTT-ALDRICH SYNDROME	BUSULFAN	CHEBI:28901	Busulfan	DOID:9169|CHEBI:28901
EFO:0006911	Chemotherapy-induced nausea and vomiting	CANCER (CHEMOTHERAPY-INDUCED NAUSEA AND VOMITING)	MORPHINE HYDROCHLORIDE	CHEBI:55340	morphine hydrochloride	EFO:0006911|CHEBI:55340
HP:0000011	Neurogenic bladder	NEUROGENIC BLADDER	FESOTERODINE FUMARATE	CHEBI:135920	Fesoterodine	HP:0000011|CHEBI:135920
HP:0000020	Urinary incontinence	STRESS URINARY INCONTINENCE (SUI)	DULOXETINE	CHEBI:36796	duloxetine	HP:0000020|CHEBI:36796
HP:0000020	Urinary incontinence	URINARY INCONTINENCE DUE TO NEUROGENIC BLADDER	BOTULINUM TOXIN TYPE A	DRUGBANK:DB00083	Botulinum toxin type A	HP:0000020|DRUGBANK:DB00083
HP:0000132	Menorrhagia	HYPERMENORRHEA	LEVONORGESTREL	CHEBI:6443	Levonorgestrel	HP:0000132|CHEBI:6443
HP:0000132	Menorrhagia	MENORRHAGIA	NOMEGESTROL ACETATE, ESTRADIOL	CHEBI:16469	Estradiol	HP:0000132|CHEBI:16469
HP:0000132	Menorrhagia	MENORRHAGIA	RELUGOLIX	UNII:P76B05O5V6	Relugolix	HP:0000132|UNII:P76B05O5V6
HP:0000225	Gingival bleeding	BLEEDING	HUMAN FIBRINOGEN, HUMAN THROMBIN	CHEBI:5931	insulin human	HP:0000225|CHEBI:5931
HP:0000225	Gingival bleeding	BLEEDING	HUMAN FIBRINOGEN, HUMAN THROMBIN	CHEBI:5931	insulin human	HP:0000225|CHEBI:5931
