active ingredients	drug ID	drug label	disease name	disease ID	disease label	indication	drug|disease	original source text	contraindication
{'CIMETIDINE'}	CHEBI:3699	Cimetidine	MULTIPLE ENDOCRINE ADENOMAS	DOID:3125	multiple endocrine neoplasia	True	DOID:3125|CHEBI:3699		False
{'FAMOTIDINE'}	CHEBI:4975	Famotidine	MULTIPLE ENDOCRINE ADENOMAS	DOID:3125	multiple endocrine neoplasia	True	DOID:3125|CHEBI:4975		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	URINARY TRACT INFECTIONS	HP:0000010	Recurrent urinary tract infections	True	HP:0000010|CHEBI:553473		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	URINARY TRACT INFECTIONS	HP:0000010	Recurrent urinary tract infections	True	HP:0000010|CHEBI:553473		False
{'LOMEFLOXACIN'}	CHEBI:116278	Lomefloxacin	ACUTE OTITIS MEDIA	HP:0000371	Acute otitis media	True	HP:0000371|CHEBI:116278		False
{'FLUOXYMESTERONE'}	CHEBI:5120	Fluoxymesterone	DELAYED PUBERTY	HP:0000823	Delayed puberty	True	HP:0000823|CHEBI:5120		False
GLYCOPYRRONIUM TOSILATE HYDRATE	PUBCHEM.COMPOUND:71680039	GLYCOPYRRONIUM TOSYLATE	PRIMARY AXILLARY HYPERHIDROSIS	HP:0000975	Hyperhidrosis	True	HP:0000975|PUBCHEM.COMPOUND:71680039		False
OXYBUTYNIN HYDROCHLORIDE	CHEBI:144551	Oxybutynin	PRIMARY PALMAR HYPERHIDROSIS	HP:0000975	Hyperhidrosis	True	HP:0000975|CHEBI:144551		False
{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HISTAMINE-MEDIATED PRURITUS	HP:0000989	Pruritus	True	HP:0000989|CHEBI:5818		False
{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HISTAMINE-MEDIATED PRURITUS	HP:0000989	Pruritus	True	HP:0000989|CHEBI:5818		False
{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	HISTAMINE-MEDIATED PRURITUS	HP:0000989	Pruritus	True	HP:0000989|CHEBI:5818		False
{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	PRURITUS	HP:0000989	Pruritus	True	HP:0000989|CHEBI:5818		False
{'HYDROXYZINE'}	CHEBI:5818	Hydroxyzine	PRURITUS	HP:0000989	Pruritus	True	HP:0000989|CHEBI:5818		False
{'ATENOLOL'}	CHEBI:2904	Atenolol	ANGINA PECTORIS	HP:0001681	Angina pectoris	True	HP:0001681|CHEBI:2904		False
{'ISOSORBIDE'}	CHEBI:6060	Isosorbide	ANGINA PECTORIS	HP:0001681	Angina pectoris	True	HP:0001681|CHEBI:6060		False
DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	VENOUS THROMBOEMBOLIC EVENTS	HP:0001907	Thromboembolism	True	HP:0001907|CHEBI:70746		False
{'CALCIUM CHLORIDE', 'POTASSIUM CHLORIDE', 'SODIUM ACETATE', 'SODIUM LACTATE', 'MAGNESIUM CHLORIDE', 'SODIUM CHLORIDE'}	CHEBI:26710	Sodium chloride	DEHYDRATION	HP:0001944	Dehydration	True	HP:0001944|CHEBI:26710		False
{'DEXTROSE', 'POTASSIUM CHLORIDE', 'SODIUM GLUCONATE', 'SODIUM ACETATE', 'MAGNESIUM CHLORIDE', 'SODIUM CHLORIDE'}	CHEBI:26710	Sodium chloride	DEHYDRATION	HP:0001944	Dehydration	True	HP:0001944|CHEBI:26710		False
{'PROPOXYPHENE', 'ACETAMINOPHEN'}	CHEBI:46195	Acetaminophen	FEVER	HP:0001945	Fever	True	HP:0001945|CHEBI:46195		False
FOSNETUPITANT CHLORIDE HYDROCHLORIDE	UNII:ZR36MFA9P8	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	VOMITING	HP:0002013	Vomiting	True	HP:0002013|UNII:ZR36MFA9P8		False
{'PROMETHAZINE'}	CHEBI:8461	Promethazine	NAUSEA AND VOMITING	HP:0002017	Nausea and vomiting	True	HP:0002017|CHEBI:8461		False
FOSNETUPITANT CHLORIDE HYDROCHLORIDE	UNII:ZR36MFA9P8	FOSNETUPITANT CHLORIDE HYDROCHLORIDE	NAUSEA	HP:0002018	Nausea	True	HP:0002018|UNII:ZR36MFA9P8		False
{'ACETAMINOPHEN', 'CODEINE'}	RXCUI:370748	acetaminophen / codeine Oral Capsule	MILD TO MODERATELY SEVERE PAIN	HP:0002027	Abdominal pain	True	HP:0002027|RXCUI:370748		False
{'MEPERIDINE'}	CHEBI:6754	Meperidine	MODERATE TO SEVERE PAIN	HP:0002027	Abdominal pain	True	HP:0002027|CHEBI:6754		False
{'MORPHINE'}	CHEBI:7003	morphine sulfate	MODERATE TO SEVERE PAIN	HP:0002027	Abdominal pain	True	HP:0002027|CHEBI:7003		False
{'MORPHINE'}	CHEBI:7003	morphine sulfate	MODERATE TO SEVERE PAIN (REQUIRING CONTINUOUS	HP:0002027	Abdominal pain	True	HP:0002027|CHEBI:7003		False
{'PROPOXYPHENE', 'ACETAMINOPHEN'}	CHEBI:46195	Acetaminophen	PAIN (MILD-TO-MODERATE)	HP:0002027	Abdominal pain	True	HP:0002027|CHEBI:46195		False
BUPIVACAINE, MELOXICAM	RXCUI:2560233	bupivacaine / meloxicam Injectable Product	SOMATIC POSTOPERATIVE PAIN	HP:0002027	Abdominal pain	True	HP:0002027|RXCUI:2560233		False
PERAMPANEL HYDRATE	CHEBI:71015	perampanel hydrate	TONIC-CLONIC SEIZURE	HP:0002069	Bilateral tonic-clonic seizure	True	HP:0002069|CHEBI:71015		False
CLOPIDOGREL	CHEBI:3759	Plavix	ISCHAEMIC STROKE	HP:0002140	Ischemic stroke	True	HP:0002140|CHEBI:3759		False
CLOPIDOGREL	CHEBI:3759	Plavix	ISCHEMIC STROKE	HP:0002140	Ischemic stroke	True	HP:0002140|CHEBI:3759		False
CLOPIDOGREL	CHEBI:3759	Plavix	MINOR ISCHEMIC STROKE (IS)	HP:0002140	Ischemic stroke	True	HP:0002140|CHEBI:3759		False
N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HYPERKALEMIA	HP:0002153	Hyperkalemia	True	HP:0002153|DRUGBANK:DB00083		False
DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	DEEP VEIN THROMBOSIS	HP:0002625	Deep venous thrombosis	True	HP:0002625|CHEBI:70746		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	LOWER RESPIRATORY TRACT INFECTIONS	HP:0002783	Recurrent lower respiratory tract infections	True	HP:0002783|CHEBI:553473		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	LOWER RESPIRATORY TRACT INFECTIONS	HP:0002783	Recurrent lower respiratory tract infections	True	HP:0002783|CHEBI:553473		False
N/A FOR THIS COMBINATION DRUG	DRUGBANK:DB00083	Botulinum toxin type A	HYPERMAGNESEMIA	HP:0002918	Hypermagnesemia	True	HP:0002918|DRUGBANK:DB00083		False
INCLISIRAN SODIUM	CHEBI:176399	Inclisiran	HYPERCHOLESTEROLEMIA	HP:0003124	Hypercholesterolemia	True	HP:0003124|CHEBI:176399		False
{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	VENTRICULAR ARRHYTHMIAS	HP:0004308	Ventricular arrhythmia	True	HP:0004308|CHEBI:9207		False
13C-UREA	CHEBI:16199	Urea	DIAGNOSTIC/CONTRAST/RADIOLABEL	HP:0004388	Microcolon	True	HP:0004388|CHEBI:16199		False
FLORBETABEN (18F)	CHEBI:79033	florbetaben F18	DIAGNOSTIC/CONTRAST/RADIOLABEL	HP:0004388	Microcolon	True	HP:0004388|CHEBI:79033		False
{'DIATRIZOATE'}	CHEBI:31812	diatrizoate meglumine	DIAGNOSTIC/CONTRAST/RADIOLABEL	HP:0004388	Microcolon	True	HP:0004388|CHEBI:31812		False
{'DIATRIZOIC ACID'}	UNII:9PCJ65W0EE	Diatrizoic acid I-125	DIAGNOSTIC/CONTRAST/RADIOLABEL	HP:0004388	Microcolon	True	HP:0004388|UNII:9PCJ65W0EE		False
{'VERAPAMIL'}	CHEBI:77733	Verapamil	PAROXYSMAL SUPRAVENTRICULAR TACHYCARDIAS	HP:0004763	Paroxysmal supraventricular tachycardia	True	HP:0004763|CHEBI:77733		False
DABIGATRAN ETEXILATE	CHEBI:70746	Dabigatran etexilate	RECURRENT DEEP VEIN THROMBOSIS	HP:0004850	Recurrent deep vein thrombosis	True	HP:0004850|CHEBI:70746		False
{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	VENTRICULAR PREMATURE CONTRACTIONS	HP:0006682	Premature ventricular contraction	True	HP:0006682|CHEBI:9207		False
{'CARBACHOL'}	CHEBI:3385	carbachol	INTRAOCULAR PRESSURE ELEVATION	HP:0007906	Ocular hypertension	True	HP:0007906|CHEBI:3385		False
RIPASUDIL HYDROCHLORIDE HYDRATE, BRIMONIDINE TARTRATE	CHEBI:3175	Brimonidine	OCULAR HYPERTENSION	HP:0007906	Ocular hypertension	True	HP:0007906|CHEBI:3175		False
{'HYDROCORTISONE', 'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	EDEMA AND INFLAMMATION	HP:0010741	Pedal edema	True	HP:0010741|CHEBI:133011		False
{'FLUOROMETHOLONE', 'SULFACETAMIDE'}	RXCUI:1160825	fluorometholone / sulfacetamide Ophthalmic Product	INFLAMMATORY CONDITIONS OF THE ANTERIOR SEGMENT OF THE GLOBE	HP:0011123	Inflammatory abnormality of the skin	True	HP:0011123|RXCUI:1160825		False
{'MORPHINE'}	CHEBI:7003	morphine sulfate	AROUND-THE-CLOCK OPIOID THERAPY FOR AN EXTENDED PERIOD OF TIME)	HP:0011885	Hemorrhage of the eye	True	HP:0011885|CHEBI:7003		False
ACETYLCYSTEINE	CHEBI:28939	Acetylcysteine	ONYCHOCRYPTOSIS (INGROWN TOENAIL)	HP:0012710	Ingrown nail	True	HP:0012710|CHEBI:28939		False
GEFAPIXANT CITRATE	UNII:DFK0FC2VVV	GEFAPIXANT CITRATE	CHRONIC COUGH (REFRACTORY)	HP:0034315	Chronic cough	True	HP:0034315|UNII:DFK0FC2VVV		False
ANDEXANET ALFA 	UNII:BI009E452R	Andexanet alfa	LIFE-THREATENING BLEEDING (FROM APIXABAN	HP:0040184	Oral bleeding	True	HP:0040184|UNII:BI009E452R		False
ANDEXANET ALFA 	UNII:BI009E452R	Andexanet alfa	UNCONTROLLED BLEEDING (FROM APIXABAN	HP:0040184	Oral bleeding	True	HP:0040184|UNII:BI009E452R		False
{'MEDRYSONE'}	CHEBI:34829	Medrysone	EPISCLERITIS	HP:0100534	Episcleritis	True	HP:0100534|CHEBI:34829		False
PHENYLEPHRINE, KETOROLAC	CHEBI:6129	Ketorolac	ACUTE POSTOPERATIVE OCULAR PAIN	HP:0200026	Ocular pain	True	HP:0200026|CHEBI:6129		False
{'SOTALOL'}	CHEBI:9207	sotalol hydrochloride	VENTRICULAR FIBRILLATION	MONDO:0000190	ventricular fibrillation	True	MONDO:0000190|CHEBI:9207		False
{'CALCIUM ACETATE'}	CHEBI:3310	Calcium acetate	HYPERPHOSPHATEMIA	MONDO:0000328	hyperphosphatemia	True	MONDO:0000328|CHEBI:3310		False
INTERFERON BETA-1B	CHEBI:5938	Interferon beta-1b	SECONDARY PROGRESSIVE MULTIPLE SCLEROSIS WITH ACTIVE DISEASE	MONDO:0000450	secondary progressive multiple sclerosis	True	MONDO:0000450|CHEBI:5938		False
ELACESTRANT	CHEBI:229213	Elacestrant	HER2 NEGATIVE)	MONDO:0000618	Her2-receptor negative breast cancer	True	MONDO:0000618|CHEBI:229213		False
{'PROMETHAZINE'}	CHEBI:8461	Promethazine	ANALGESIA	MONDO:0000675	pain agnosia	True	MONDO:0000675|CHEBI:8461		False
MIFEPRISTONE MISOPROSTOL	CHEBI:50692	Mifepristone	PREGNANCY	MONDO:0000755	ectopic pregnancy	True	MONDO:0000755|CHEBI:50692		False
HUMAN PROTEIN C	CHEBI:5931	insulin human	PURPURA FULMINANS	MONDO:0000809	purpura fulminans	True	MONDO:0000809|CHEBI:5931		False
{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	HAEMOPHILUS INFLUENZAE INFECTIONS (RESPIRATORY)	MONDO:0000889	haemophilus meningitis	True	MONDO:0000889|CHEBI:133011		False
"PROTECTIVE ANTIGEN OF BORDETELLA PERTUSSIS DIPHTHERIA TOXOID TETANUS TOXOID INACTIVATED POLIOVIRUS TYPES 1-3 (SABIN STRAIN)
HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE- TETANUS TOXOID CONJUGATE"	UNII:C9R35M8XV6	Hiberix	INFECTIONS CAUSED BY HAEMOPHILUS INFLUENZAE TYPE B	MONDO:0000889	haemophilus meningitis	True	MONDO:0000889|UNII:C9R35M8XV6		False
PROTECTIVE ANTIGEN OF BORDETELLA PERTUSSIS DIPHTHERIA TOXOID TETANUS TOXOID INACTIVATED POLIOVIRUS TYPES 1-3 (SABIN STRAIN) HAEMOPHILUS INFLUENZAE TYPE B OLIGOSACCHARIDE - DIPHTHERIA CRM197 CONJUGATE	UNII:C9R35M8XV6	Hiberix	INFECTIONS CAUSED BY HAEMOPHILUS INFLUENZAE TYPE B	MONDO:0000889	haemophilus meningitis	True	MONDO:0000889|UNII:C9R35M8XV6		False
{'TROVAFLOXACIN'}	CHEBI:9763	Trovafloxacin	GYNECOLOGIC AND PELVIC INFECTIONS	MONDO:0000922	pelvic inflammatory disease	True	MONDO:0000922|CHEBI:9763		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	PELVIC INFLAMMATORY DISEASE	MONDO:0000922	pelvic inflammatory disease	True	MONDO:0000922|CHEBI:553473		False
{'CEFTIZOXIME'}	CHEBI:553473	Ceftizoxime	PELVIC INFLAMMATORY DISEASE	MONDO:0000922	pelvic inflammatory disease	True	MONDO:0000922|CHEBI:553473		False
{'FLUOROMETHOLONE', 'SULFACETAMIDE'}	RXCUI:1160825	fluorometholone / sulfacetamide Ophthalmic Product	INFLAMMATORY CONDITIONS OF THE CORNEA	MONDO:0000942	corneal disorder	True	MONDO:0000942|RXCUI:1160825		False
CARMUSTINE	CHEBI:3423	Carmustine	"""HODGKIN’S DISEASE"""	MONDO:0000979	pinta disease	True	MONDO:0000979|CHEBI:3423		False
ADALIMUMAB	UNII:FYS6T7F842	Adalimumab	CROHN’S DISEASE	MONDO:0000979	pinta disease	True	MONDO:0000979|UNII:FYS6T7F842		False
INFLIXIMAB	UNII:B72HH48FLU	Infliximab	CROHN’S DISEASE	MONDO:0000979	pinta disease	True	MONDO:0000979|UNII:B72HH48FLU		False
CARMUSTINE	CHEBI:3423	Carmustine	HODGKIN’S DISEASE	MONDO:0000979	pinta disease	True	MONDO:0000979|CHEBI:3423		False
PNEUMOCOCCAL POLYSACCHARIDE CONJUGATE VACCINE (13-VALENT, ADSORBED)	UNII:C9R35M8XV6	Hiberix	ACUTE OTITIS MEDIA CAUSED BY STREPTOCOCCUS PNEUMONIAE	MONDO:0001031	purulent acute otitis media	True	MONDO:0001031|UNII:C9R35M8XV6		False
PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	GASTRIC CANCER	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:3A58010674		False
PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	GASTRIC CANCER	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:3A58010674		False
RAMUCIRUMAB	UNII:D99YVK4L0X	Ramucirumab	GASTRIC CANCER	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:D99YVK4L0X		False
TRASTUZUMAB DERUXTECAN	UNII:5384HK7574	Trastuzumab deruxtecan	GASTRIC CANCER	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:5384HK7574		False
ZOLBETUXIMAB 	UNII:TF5MPQ8WGY	Zolbetuximab	GASTRIC CANCER (ADVANCED OR RECURRENT)	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:TF5MPQ8WGY		False
TRASTUZUMAB	UNII:5384HK7574	Trastuzumab deruxtecan	GASTRIC CANCER (METASTATIC)	MONDO:0001056	gastric cancer	True	MONDO:0001056|UNII:5384HK7574		False
{'FOLIC ACID'}	CHEBI:27470	Folic acid	TROPICAL SPRUE	MONDO:0001078	tropical sprue	True	MONDO:0001078|CHEBI:27470		False
{'NANDROLONE'}	CHEBI:7466	Nandrolone	ANEMIA OF RENAL INSUFFICIENCY	MONDO:0001106	kidney failure	True	MONDO:0001106|CHEBI:7466		False
{'RANITIDINE'}	CHEBI:8776	ranitidine	GASTRIC ULCER	MONDO:0001126	gastric ulcer	True	MONDO:0001126|CHEBI:8776		False
{'RANITIDINE'}	CHEBI:8776	ranitidine	GASTRIC ULCER	MONDO:0001126	gastric ulcer	True	MONDO:0001126|CHEBI:8776		False
PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	BLADDER CANCER	MONDO:0001187	urinary bladder cancer	True	MONDO:0001187|UNII:3A58010674		False
PEGFILGRASTIM	UNII:3A58010674	Pegfilgrastim	BLADDER CANCER	MONDO:0001187	urinary bladder cancer	True	MONDO:0001187|UNII:3A58010674		False
{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	TYPHUS FEVER	MONDO:0001246	typhus	True	MONDO:0001246|CHEBI:133011		False
{'OXYTETRACYCLINE'}	CHEBI:133011	oxytetracycline	TRACHOMA	MONDO:0001249	trachoma	True	MONDO:0001249|CHEBI:133011		False
{'SULFACETAMIDE'}	CHEBI:9327	Isopto cetamide	TRACHOMA (ADJUNCTIVE)	MONDO:0001249	trachoma	True	MONDO:0001249|CHEBI:9327		False
{'ALBUTEROL'}	CHEBI:2549	Salbutamol	BRONCHOSPASM	MONDO:0001358	bronchial disorder	True	MONDO:0001358|CHEBI:2549		False
{'ALBUTEROL'}	CHEBI:2549	Salbutamol	BRONCHOSPASM	MONDO:0001358	bronchial disorder	True	MONDO:0001358|CHEBI:2549		False
FILGRASTIM	UNII:PVI5M0M1GW	Filgrastim	PERSISTENT NEUTROPENIA	MONDO:0001475	neutropenia	True	MONDO:0001475|UNII:PVI5M0M1GW		False
