drug|disease	disease ID labels	drug ID Label	drug ID	disease IDs	active ingredients in therapy	list of diseases
DOID:10017|CHEBI:7915	multiple endocrine neoplasia type 1	Pantoprazole	CHEBI:7915	DOID:10017	['PANTOPRAZOLE']	['MULTIPLE ENDOCRINE NEOPLASIA TYPE 1)']
DOID:12177|CHEBI:4911	common variable immunodeficiency	Etoposide	CHEBI:4911	DOID:12177	['ETOPOSIDE']	['COMMON VARIABLE IMMUNODEFICIENCY']
DOID:12177|DRUGBANK:DB00028	common variable immunodeficiency	Human immunoglobulin G	DRUGBANK:DB00028	DOID:12177	['HUMAN IMMUNOGLOBULIN G']	['COMMON VARIABLE IMMUNODEFICIENCY (CVID)']
DOID:14275|CHEBI:16469	atrophic vulva	Estradiol	CHEBI:16469	DOID:14275	['ESTRADIOL']	['SYMPTOMS OF VULVAR AND VAGINAL ATROPHY ASSOCIATED WITH MENOPAUSE', 'SYMPTOMS OF VULVAR AND VAGINAL ATROPHY DUE TO MENOPAUSE', 'VULVAR ATROPHY', 'VULVAR ATROPHY (MENOPAUSAL)']
DOID:14275|CHEBI:28689	atrophic vulva	Prasterone	CHEBI:28689	DOID:14275	['PRASTERONE']	['DYSPAREUNIA (SYMPTOM OF VULVAR AND VAGINAL ATROPHY)', 'VULVAR ATROPHY']
DOID:14275|CHEBI:73275	atrophic vulva	Ospemifene	CHEBI:73275	DOID:14275	['OSPEMIFENE']	['VULVAR ATROPHY']
DOID:14275|CHEBI:8389	atrophic vulva	Conjugated estrogens	CHEBI:8389	DOID:14275	['ESTROGENS, CONJUGATED']	['SYMPTOMS OF VULVAR AND VAGINAL ATROPHY DUE TO MENOPAUSE']
DOID:14275|RXCUI:2556795	atrophic vulva	Myfembree Pill	RXCUI:2556795	DOID:14275	['ESTRADIOL, NORETHINDRONE']	['SYMPTOMS OF VULVAR AND VAGINAL ATROPHY ASSOCIATED WITH MENOPAUSE', 'SYMPTOMS OF VULVAR AND VAGINAL ATROPHY DUE TO MENOPAUSE']
DOID:14275|UNII:8L6LAK9BTR	atrophic vulva	Synthetic Conjugated Estrogens, B	UNII:8L6LAK9BTR	DOID:14275	['ESTROGENS, CONJUGATED SYNTHETIC B']	['VULVAR AND VAGINAL ATROPHY']
DOID:3125|CHEBI:17439	multiple endocrine neoplasia	Cyanocobalamin	CHEBI:17439	DOID:3125	['CYANOCOBALAMIN']	['EXTENSIVE NEOPLASIA', 'NEOPLASIA']
DOID:3125|CHEBI:31934	multiple endocrine neoplasia	OMEPRAZOLE SODIUM	CHEBI:31934	DOID:3125	['FOOD YELLOW 3 FREE ACID, OMEPRAZOLE', 'OMEPRAZOLE']	['MULTIPLE ENDOCRINE ADENOMAS']
DOID:3125|CHEBI:3699	multiple endocrine neoplasia	Cimetidine	CHEBI:3699	DOID:3125	['CIMETIDINE']	['MULTIPLE ENDOCRINE ADENOMAS']
DOID:3125|CHEBI:4975	multiple endocrine neoplasia	Famotidine	CHEBI:4975	DOID:3125	['FAMOTIDINE']	['MULTIPLE ENDOCRINE ADENOMAS', 'MULTIPLE ENDOCRINE ADENOMAS)', 'MULTIPLE ENDOCRINE NEOPLASIAS', 'MULTIPLE ENDOCRINE NEOPLASIAS)']
DOID:3125|CHEBI:6888	multiple endocrine neoplasia	Methylprednisolone	CHEBI:6888	DOID:3125	['METHYLPREDNISOLONE']	['NEOPLASIA']
DOID:4378|DRUGBANK:DB10553	peanut allergy	Peanut	DRUGBANK:DB10553	DOID:4378	['DEFATTED POWDER OF ARACHIS HYPOGAEA L., SEMEN (PEANUTS)', 'PEANUT']	['PEANUT ALLERGY']
DOID:9169|CHEBI:30769	Wiskott-Aldrich syndrome	Citric acid	CHEBI:30769	DOID:9169	['PHOSPHORIC ACID, DEXTROSE, CITRIC ACID']	['WISKOTT-ALDRICH SYNDROME']
DOID:9169|CHEBI:4911	Wiskott-Aldrich syndrome	Etoposide	CHEBI:4911	DOID:9169	['ETOPOSIDE']	['WISKOTT-ALDRICH SYNDROME']
DOID:9169|DRUGBANK:DB00028	Wiskott-Aldrich syndrome	Human immunoglobulin G	DRUGBANK:DB00028	DOID:9169	['HUMAN IMMUNOGLOBULIN G']	['WISKOTT-ALDRICH SYNDROME']
EFO:0003964|CHEBI:2566	hip fracture	alendronate sodium trihydrate	CHEBI:2566	EFO:0003964	['ALENDRONIC ACID, COLECALCIFEROL']	['HIP FRACTURES']
EFO:0008380|CHEBI:28918	perceived unattractiveness to mosquitos measurement	Epinephrine	CHEBI:28918	EFO:0008380	['EPINEPHRINE']	['MOSQUITOS)']
HP:0000010|CHEBI:15366	Recurrent urinary tract infections	Acetic acid	CHEBI:15366	HP:0000010	['ACETIC ACID']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:17833	Recurrent urinary tract infections	Gentamicin	CHEBI:17833	HP:0000010	['GENTAMICIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:2676	Recurrent urinary tract infections	Amoxicillin	CHEBI:2676	HP:0000010	['CLAVULANIC ACID, AMOXICILLIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:27902	Recurrent urinary tract infections	Tetracycline	CHEBI:27902	HP:0000010	['TETRACYCLINE']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:28971	Recurrent urinary tract infections	Ampicillin	CHEBI:28971	HP:0000010	['AMPICILLIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:29103	Recurrent urinary tract infections	Potassium cation	CHEBI:29103	HP:0000010	['POTASSIUM CATION, PHOSPHATE ION']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:31368	Recurrent urinary tract infections	CEFEPIME HYDROCHLORIDE	CHEBI:31368	HP:0000010	['CEFEPIME']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3478	Recurrent urinary tract infections	Cefaclor	CHEBI:3478	HP:0000010	['CEFACLOR', 'CEFACLOR ANHYDROUS']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3479	Recurrent urinary tract infections	Cefadroxil	CHEBI:3479	HP:0000010	['CEFADROXIL', 'CEFADROXIL ANHYDROUS']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3483	Recurrent urinary tract infections	CEFAZOLIN SODIUM	CHEBI:3483	HP:0000010	['CEFAZOLIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3498	Recurrent urinary tract infections	CEFOTAXIME SODIUM	CHEBI:3498	HP:0000010	['CEFOTAXIME']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3501	Recurrent urinary tract infections	CEFOXITIN SODIUM	CHEBI:3501	HP:0000010	['CEFOXITIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3508	Recurrent urinary tract infections	Ceftazidime	CHEBI:3508	HP:0000010	['CEFTAZIDIME ANHYDROUS']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3514	Recurrent urinary tract infections	Ceftriaxone disodium salt hemiheptahydrate	CHEBI:3514	HP:0000010	['CEFTRIAXONE']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3515	Recurrent urinary tract infections	Cefuroxime	CHEBI:3515	HP:0000010	['CEFUROXIME']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:3770	Recurrent urinary tract infections	CO-TRIMOXAZOLE	CHEBI:3770	HP:0000010	['SULFAMETHOXAZOLE, TRIMETHOPRIM']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:46081	Recurrent urinary tract infections	Fluconazole	CHEBI:46081	HP:0000010	['FLUCONAZOLE']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:4735	Recurrent urinary tract infections	Edetic acid	CHEBI:4735	HP:0000010	['BISULFITE ION, GENTAMICIN, EDETIC ACID']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:5100	Recurrent urinary tract infections	Flucytosine	CHEBI:5100	HP:0000010	['FLUCYTOSINE']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:59936	Recurrent urinary tract infections	ciprofloxacin hydrochloride hydrate	CHEBI:59936	HP:0000010	['CIPROFLOXACIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:63598	Recurrent urinary tract infections	Levofloxacin	CHEBI:63598	HP:0000010	['LEVOFLOXACIN ANHYDROUS']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:6446	Recurrent urinary tract infections	levothyroxine sodium anhydrous	CHEBI:6446	HP:0000010	['ANHYDROUS LACTOSE, CEFADROXIL ANHYDROUS', 'CLAVULANIC ACID, AMOXICILLIN ANHYDROUS', 'FOOD YELLOW 3 FREE ACID, NITROFURANTOIN, ANHYDROUS LACTOSE', 'IMIPENEM ANHYDROUS, CILASTATIN', 'PIPERACILLIN ANHYDROUS, TAZOBACTAM']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:6824	Recurrent urinary tract infections	Methenamine	CHEBI:6824	HP:0000010	['METHENAMINE']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:71415	Recurrent urinary tract infections	Nitrofurantoin	CHEBI:71415	HP:0000010	['NITROFURANTOIN']	['URINARY TRACT INFECTIONS']
HP:0000010|CHEBI:8310	Recurrent urinary tract infections	Polymyxin B	CHEBI:8310	HP:0000010	['POLYMYXIN B']	['URINARY TRACT INFECTIONS']
HP:0000011|CHEBI:135920	Neurogenic bladder	Fesoterodine	CHEBI:135920	HP:0000011	['FESOTERODINE FUMARATE']	['NEUROGENIC BLADDER']
HP:0000011|CHEBI:144551	Neurogenic bladder	Oxybutynin	CHEBI:144551	HP:0000011	['OXYBUTYNIN']	['REFLEX NEUROGENIC BLADDER']
HP:0000011|CHEBI:15544	Neurogenic bladder	Alprostadil	CHEBI:15544	HP:0000011	['ALPROSTADIL']	['ERECTILE DYSFUNCTION (NEUROGENIC)']
HP:0000011|CHEBI:16684	Neurogenic bladder	Atropine	CHEBI:16684	HP:0000011	['HYOSCYAMINE']	['NEUROGENIC BLADDER']
HP:0000011|CHEBI:3084	Neurogenic bladder	Bethanechol	CHEBI:3084	HP:0000011	['BETHANECHOL']	['NEUROGENIC ATONY OF THE URINARY BLADDER', 'NEUROGENIC ATONY OF THE URINARY BLADDER WITH RETENTION']
HP:0000011|DRUGBANK:DB00083	Neurogenic bladder	Botulinum toxin type A	DRUGBANK:DB00083	HP:0000011	['BOTULINUM TOXIN TYPE A']	['NEUROGENIC BLADDER']
HP:0000016|CHEBI:3084	Urinary retention	Bethanechol	CHEBI:3084	HP:0000016	['BETHANECHOL']	['POSTPARTUM NONOBSTRUCTIVE (FUNCTIONAL) URINARY RETENTION', 'POSTPARTUM NONOBSTRUCTIVE URINARY RETENTION', 'POSTPARTUM URINARY RETENTION', 'POSTPARTUM URINARY RETENTION (FUNCTIONAL)']
HP:0000017|CHEBI:4450	Nocturia	Desmopressin	CHEBI:4450	HP:0000017	['DESMOPRESSIN', 'DESMOPRESSIN ACETATE HYDRATE']	['NOCTURIA (DUE TO NOCTURNAL POLYURIA)', 'NOCTURIA DUE TO NOCTURNAL POLYURIA IN MALES']
HP:0000020|CHEBI:144551	Urinary incontinence	Oxybutynin	CHEBI:144551	HP:0000020	['OXYBUTYNIN']	['URINARY INCONTINENCE']
HP:0000020|CHEBI:16684	Urinary incontinence	Atropine	CHEBI:16684	HP:0000020	['HYOSCYAMINE']	['URINARY INCONTINENCE']
